"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Lokva Rogoznica, Omis",43.4148427,16.7692703,"21317 Grad Omiš, Croatia",,,"Grad Omiš",,"Split-Dalmatia County",,,"Croatia","hr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tomales Point, Marin County",38.2139865,-122.9747413,"Tomales Point Trail, Marin County, CA 94953, United States of America",,,,"Tomales Point Trail","Marin County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Preluka Harbour",53.529965,-7.342029,"Harbour Quay, Harbour Road, Mullingar, Westmeath, Ireland",,,"Mullingar",,"Westmeath","Westmeath",,"Ireland","ie",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mission Rocks",-28.2781542,32.4860674,"Mission Rocks, Mtubatuba Ward 3, Mtubatuba Local Municipality, Umkhanyakude District Municipality, South Africa",,,"Mtubatuba Local Municipality","Mission Rocks","Umkhanyakude District Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Crescent Beach, St. Johns County",29.738289,-81.24230475946248,"Crescent Beach, Saint Johns County, FL, United States of America",,,,"Crescent Beach","Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ft. Pierce, St Lucie County",27.4467056,-80.3256056,"Fort Pierce, Fort Pierce, FL, United States of America",,,"Fort Pierce",,"Saint Lucie County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North Beach, Durban",-29.846709099999998,31.03530304244685,"North Beach, Durban, NL, South Africa",,,"Durban","North Beach","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Southport",53.6475988,-3.0041751,"Southport, PR8 1AH, United Kingdom",,,"Southport","Southport","Liverpool City Region","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Brennecke Beach, Po'ipu, Kaua'i",52.007739,10.126269,"Bürgermeister-Brennecke-Allee, Bockenem, Germany","Bockenem",,"Bockenem",,"Hildesheim","Lower Saxony",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dania, Broward County",26.0543154,-80.1457426,"Dania, Northwest 4th Avenue, Dania Beach, FL 33004, United States of America",,,,"Dania","Broward County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Shark tank, Oceanographic Research Institute, Durban",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Swan River, 13 miles upstream",47.184464,-93.2849572,"Swan River, Feeley, MN 55793, United States of America",,,"Feeley","Swan River","Itasca County","Minnesota","MN","United States","us",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pulau Aur",2.4474130499999998,104.52145533975488,"Aur Island, Mersing, Malaysia","Mersing",,,"Aur Island",,"Johor",,"Malaysia","my",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Marinella Sarzana, La Spezia",44.0483016,10.0165989,"Marinella di Sarzana, 19030 Sarzana SP, Italy",,"SP","Sarzana","Marinella di Sarzana","La Spezia","Liguria","LIG","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hamilton",43.2560802,-79.8728583,"Hamilton, ON, Canada",,,"Hamilton",,"Golden Horseshoe","Ontario","ON","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Goolwa",-35.5020818,138.7820507,"Goolwa SA 5214, Australia",,,"Goolwa",,"Alexandrina Council","South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mocambo",-12.5675722,-42.46779563253715,"Mocambo, Ibitiara, BA, Brazil","Mocambo",,"Ibitiara",,"Região Geográfica Intermediária de Feira de Santana","Bahia","BA","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tovu, Totoya Island",-18.959093699999997,-179.80972654585418,"Totoya Island, Tovu, Lau, Fiji",,,"Tovu","Totoya Island","Lau","Eastern",,"Fiji","fj",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Wanda Beach",-34.04244975,151.16314835349715,"Wanda Beach, Cronulla NSW 2230, Australia","Sutherland Shire",,"Sydney","Wanda Beach",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Rio Haina Port",18.475519,-70.050951,"Río Haina, Santo Domingo, Dominican Republic",,,,,"Santo Domingo Oeste","Santo Domingo",,"Dominican Republic","do",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Korolevu (South coast between Nadi & Suva)",-18.135424,178.425024,"Suva Bus Station (Vatuwaqa, Raiwaqa and Nasese), Suva, Fiji",,,"Suva",,"Rewa","Central",,"Fiji","fj",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Farallon Islands",37.7332634,-123.0344446,"Farallon Islands, San Francisco, CA, United States of America",,,"San Francisco","Farallon Islands",,"California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"30 miles south of San Clemente Island",,,,,,,,,,,,,,,,
"Emu Point",-14.1705146,130.326799,"Nemarluk, Emu Point, Australia","Nemarluk",,"Emu Point","Emu Point",,,,"Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Norah Head",-33.2816667,151.5677778,"Norah Head, Central Coast Council, NSW, Australia",,,"Central Coast Council",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"6 miles from shore",,,,,,,,,,,,,,,,
"Palm Beach",26.6279798,-80.4494174,"Palm Beach, FL, United States of America",,,,,"Palm Beach","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off the Bua coast",38.5407768,-75.0713144,"Off the Hook, 769 Garfield Parkway, Bethany Beach, DE 19930, United States of America",,,"Bethany Beach","Off the Hook","Sussex County","Delaware","DE","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Scotts Point Beach",-27.25264595,153.1098480709465,"Scotts Point Beach, Woody Point QLD 4019, Australia","Greater Brisbane",,"Moreton Bay Regional","Scotts Point Beach",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Albergotti Creek, near Air Station boat docks, Beaufort",33.562533,-80.604298,"Albergotti Lane, Calhoun County, SC, United States of America",,,,,"Calhoun County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Indian Rocks Beach, Clearwater, Pinellas County",27.975161,-82.808575,"Clearwater, FL, United States of America",,,"Clearwater",,"Pinellas County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Hilo, off Kaua'i",-14.9255388,-69.0294474,"Hilo Hilo, Municipio Pelechuco, Provincia Franz Tamayo, Bolivia",,,"Municipio Pelechuco","Hilo Hilo","Provincia Franz Tamayo","La Paz","L","Bolivia","bo",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ensenada",31.8658887,-116.602983,"Ensenada, Municipio de Ensenada, Mexico",,,"Ensenada",,"Municipio de Ensenada","Baja California","BCN","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Siesta Key, Sarasota County",27.275596,-82.5561626939674,"Siesta Key, Sarasota, FL 34242, United States of America",,,"Sarasota","Siesta Key","Sarasota County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sarasota, Sarasota County",27.3365805,-82.5308545,"Sarasota, FL, United States of America",,,"Sarasota",,"Sarasota County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Korem, Finschhafen",12.50583,39.52278,"Korem, Debubawi Zone, Ethiopia",,,"Korem",,"Debubawi Zone","Tigray",,"Ethiopia","et",0,,,"https://www.whosonfirst.org/docs/licenses/"
"The Lizard",52.5666762,1.1218828,"The Lizard, South Norfolk, NR18 9LW, United Kingdom",,"NFK","South Norfolk","The Lizard","Norfolk","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Plettenberg Bay",-34.052778,23.369444,"Plettenberg Bay, Bitou Local Municipality, 6600, South Africa",,,"Bitou Local Municipality","Plettenberg Bay","Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Windy Hill Beach",33.7936159,-78.7301108,"Windy Hill Beach, North Myrtle Beach, SC 29598, United States of America",,,"North Myrtle Beach","Windy Hill Beach","Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Long Reef, Collaroy",-33.74198,151.3171101,"Long Reef, Collaroy NSW 2097, Australia","Northern Beaches",,"Sydney","Long Reef",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lalaura Village",53.415622,7.607574,"Village, Großefehn, Germany","Großefehn",,"Großefehn",,"Aurich","Lower Saxony",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Salerno",40.6803601,14.7594542,"Salerno, Italy",,"SA","Salerno",,"Salerno","Campania","CAM","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cooper's Point",45.4619583,-122.8787135605325,"Miller Point, Cooper Mountain, Washington County, OR, United States of America",,,,"Miller Point","Washington County","Oregon","OR","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"South Beach, Durban",-29.862027400000002,31.037410200593246,"South Beach, Durban, NL, South Africa",,,"Durban","South Beach","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Waikiki, O'ahu",54.0880525,10.8692014,"Waikiki, Auf der Pelzerwiese 24, 23730 Neustadt in Holstein, Germany","Neustadt in Holstein",,"Neustadt in Holstein","Waikiki","Ostholstein","Schleswig-Holstein","SH","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Stockton Beach, Newcastle",-32.844154849999995,151.86571447066012,"Stockton Beach, Newcastle, NSW, Australia",,,"Newcastle","Stockton Beach",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"False Bay",-34.22708,18.6557555,"False Bay, City of Cape Town, South Africa",,,,"False Bay","City of Cape Town","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Knobby's Beach, Newcastle",-32.927447,151.790254,"Beach Street, Newcastle East NSW, Australia","Newcastle East",,"Newcastle East",,"Newcastle","New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Copacabana",-22.971974,-43.1842997,"Copacabana, Rio de Janeiro, RJ, Brazil","Zona Sul do Rio de Janeiro",,"Rio de Janeiro",,"Região Metropolitana do Rio de Janeiro","Rio de Janeiro","RJ","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"30 nm southeast of Guantanamo Bay",19.919752,-75.115268,"USNB, Guantanamo Bay , United States",,,,"USNB, Guantanamo Bay",,,,"United States","us",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Off Big Friar Island",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Sullivan's Island at entrance to Charleston Harbor",,,,,,,,,,,,,,,,
"750 miles off the African coast",,,,,,,,,,,,,,,,
"Santa Monica, Los Angeles County",34.0194704,-118.491227,"Santa Monica, CA, United States of America",,,"Santa Monica",,"Los Angeles County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Sierra Leone",8.4801453,-13.2561408,"Off Motor Road, Freetown, Sierra Leone","Mandong Community",,"Freetown","Off Motor Road",,"Western Area Urban",,"Sierra Leone","sl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kowie River Mouth, Port Alfred",-33.459612,26.688601,"Kowie River, Ndlambe, Sarah Baartman District Municipality, South Africa",,,"Ndlambe","Kowie River","Sarah Baartman District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Clarence River",-29.207293,152.59221,"Clarence River, NSW 2465, Australia",,,,"Clarence River",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tweed Heads",-28.1786639,153.5369986,"Tweed Heads, Tweed Shire Council, NSW, Australia",,,"Tweed Shire Council",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Istanbul",41.0091982,28.9662187,"34126 Istanbul, Turkey",,,"Istanbul","Istanbul","Istanbul","Marmara Region",,"Turkey","tr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Nepean Island",-9.56798335,143.656397702098,"Nepean Island, Torres Shire, Coral Sea, Australia","Coral Sea",,"Torres Shire","Nepean Island",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Forbes Island, Barrier Reef",54.941748450000006,-160.04732537941425,"Near Island, Aleutians East, AK, United States of America",,,,"Near Island","Aleutians East","Alaska","AK","United States","us",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Atherfield",53.6000981,-2.3879695,"Atherfield, Bolton, BL2 3LZ, United Kingdom","Harwood Lee",,"Bolton","Atherfield","Greater Manchester","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Warrior Reefs, Queensland",-23.033708,144.417144,"Queensland, Australia",,,,"Queensland",,"Queensland","QLD","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Kahala, O'ahu",21.269879,-157.786788,"Kahala, Urban Honolulu, HI, United States of America",,,"Urban Honolulu","Kahala","Honolulu","Hawaii","HI","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Off Brownsville",35.588512,-89.256829,"Brownsville, TN, United States of America",,,"Brownsville",,"Haywood County","Tennessee","TN","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Parramata River",-33.809304,151.004512,"Prince Alfred Park, Parramatta NSW 2150, Australia","Parramatta",,"Parramatta",,"Parramatta","New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Thursday Island",-10.578645850000001,142.21892059042744,"Thursday Island QLD 4875, Australia","Thursday Island",,"Thursday Island","Thursday Island",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Great Barrier Reef",-16.35,145.9,"Great Barrier Reef, Australia",,,,"Great Barrier Reef",,,,"Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bellambi Reef",-34.362793,150.912232,"Bellambi Lane, Bellambi NSW, Australia","Bellambi",,"Bellambi",,"Wollongong","New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pialba Beach near Maryborough",-25.358913,152.771461,"Torbanlea Pialba Road, Walligan QLD, Australia","Walligan",,"Walligan",,"Fraser Coast","Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fitzroy River at  Rockhampton",41.7516015,-88.326262,"River & Prairie, South River Street, Aurora, IL 60505, United States of America","Aurora Township",,"Aurora","River & Prairie","Kane County","Illinois","IL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Barrier Reef",26.568746,-80.151303,"Barrier Reef, Palm Beach County, FL 33467, United States of America",,,,"Barrier Reef","Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Florida Keys",24.6670875,-81.5831421,"Florida Keys, Monroe County, FL, United States of America",,,,"Florida Keys","Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Yeppoon, near Ross Creek",34.179864,-80.953138,"Near Creek Drive, Richland County, SC, United States of America",,,,,"Richland County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Orleans",29.9759983,-90.0782127,"New Orleans, LA, United States of America",,,"New Orleans",,"Orleans Parish","Louisiana","LA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Rockaway",40.57629,-73.851787,"Rockaway, New York, NY, United States of America","Queens",,"New York","Rockaway","Queens County","New York","NY","United States","us",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Krk Island",45.0488822,14.4917084,"Krk island , apartments, Krč Skrbcici, 42, Pinezići, Croatia",,,"Pinezići","Krk island , apartments","Primorje-Gorski Kotar County",,,"Croatia","hr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tangier Sound, Somerset County",38.0626234,-75.9954899,"Tangier Sound, Somerset County, MD, United States of America",,,,"Tangier Sound","Somerset County","Maryland","MD","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bay St. Louis, Hancock County",30.3132453,-89.3343223,"Bay Saint Louis, MS, United States of America",,,"Bay Saint Louis",,"Hancock County","Mississippi","MS","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Back Beach, Durban",44.11004,-76.773828,"Back Beach, Loyalist, ON, Canada",,,"Loyalist",,,"Ontario","ON","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Manila Bay",14.5830475,120.77284105537443,"Manila Bay, 2nd District of Bataan, Philippines",,,,"Manila Bay","2nd District of Bataan","Cavite",,"Philippines","ph",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lismore",43.747744,-95.947241,"Lismore, MN, United States of America",,,"Lismore",,"Nobles County","Minnesota","MN","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tayabas",14.0263471,121.5918364,"Tayabas, 4327 Quezon, Philippines",,,"Tayabas","Tayabas",,"Quezon",,"Philippines","ph",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Durban",-29.861825,31.009909,"Durban, 4057, South Africa",,,"Durban","Durban","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Townsville",-19.2569391,146.8239537,"Townsville QLD 4810, Australia",,,"Townsville","Townsville",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Trout River, Panama Park",30.3900071,-81.6437721,"Trout River Drive, Jacksonville, FL 32208, United States of America",,,"Jacksonville","Trout River Drive","Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kingston Harbor",39.8574837,-74.1324342,"Kingston Place, Lacey Township, NJ 08734, United States of America","Newport Bay",,"Lacey Township","Kingston Place","Ocean County","New Jersey","NJ","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Johnstone's Bay, Sydney",46.16551,-60.173398,"Sydney Indian Reserve No. 28A, NS, Canada",,,"Sydney Indian Reserve No. 28A",,"Cape Breton","Nova Scotia","NS","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Derwent River (empties into the sea at Hobart)",50.11521535,8.673776602354053,"Ranch & Sea, Kleine Hochstraße, 60313 Frankfurt, Germany","Innenstadt 1",,"Frankfurt","Ranch & Sea","Frankfurt","Hesse",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"West Bay near Galveston",29.449764,-95.10387,"West Bay Lane, League City, TX, United States of America",,,"League City",,"Galveston County","Texas","TX","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Puerto Cortez (Caribbean coast)",18.228855,-66.476673,"Puerto Rico, United States of America",,,,"Puerto Rico",,,,,"pr",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Rothesay Bay",-36.7234322,174.7477535,"Rothesay Bay, Hibiscus and Bays, AUK, New Zealand",,,"Hibiscus and Bays","Rothesay Bay",,"Auckland","AUK","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"The Narrows",40.6248003,-74.0552553,"The Narrows, New York, NY 11252, United States of America",,,"New York","The Narrows","Hudson County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Waikiki",21.2793568,-157.8285713,"Waikiki, Honolulu, HI, United States of America",,,"Honolulu","Waikiki","Honolulu County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Calcutta, Hoogly River at  one of the ghats",27.650149,-80.387516,"Calcutta Drive, Gifford, FL, United States of America",,,"Gifford",,"Indian River County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cape Canso",45.3059797,-60.939572,"Cape Canso, Andrew Island, NS, Canada",,,"Andrew Island","Cape Canso","Guysborough District Municipality","Nova Scotia","NS","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cape Hatteras",35.2252064,-75.5279144,"Cape Hatteras, Dare County, NC 27920, United States of America",,,,"Cape Hatteras","Dare County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Alongside the whaler Marianne",44.63519,-124.062767,"The Whaler, Newport, OR 97365, United States of America",,,"Newport",,"Lincoln County","Oregon","OR","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Cheju Island",33.38034745,126.54825445912047,"Jeju Island, Jeju, South Korea",,,,"Jeju Island","Jeju",,,"South Korea","kr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Marie Louise Island",-6.179180949999999,53.14419787187471,"Marie Louise Island, Seychelles",,,,"Marie Louise Island",,,,"Seychelles","sc",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Spectacle Island, Port Jackson",38.86366,-87.77836,"Port Jackson, IL, United States of America","Honey Creek Township",,"Port Jackson",,"Crawford County","Illinois","IL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Dream Beach, Hurguda",29.540108,-81.64992,"Dream, Putnam County, FL, United States of America",,,,,"Putnam County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Blue Fish Channel, Key West, Monroe County",47.8078509,-119.9854144,"Fish Habitat Channel, Chelan Falls, WA 98817, United States of America",,,"Chelan Falls","Fish Habitat Channel","Chelan County","Washington","WA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"25 mikes from Empire",,,,,,,,,,,,,,,,
"Seacliff",-35.0322783,138.5205924,"Seacliff, Adelaide, SA, Australia",,,"Adelaide",,,"South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pororari River",-42.1295359,171.3987682,"Pororari River, 7873, New Zealand",,,,"Pororari River","Buller District","West Coast","WTC","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ponce Inlet, Volusia County",29.0963729,-80.9369983,"Ponce Inlet, FL, United States of America",,,"Ponce Inlet",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North Stradbroke Island",-27.564732900000003,153.44873819512986,"North Stradbroke Island, Redland City QLD 4183, Australia","Greater Brisbane",,"Redland City","North Stradbroke Island",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ponce Inlet, Volusia County",29.0963729,-80.9369983,"Ponce Inlet, FL, United States of America",,,"Ponce Inlet",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jeffrey's Bay",40.6292647,-74.0259399,"Jeffrey S. Frieling, MD, FACS, 7704 4th Avenue, New York, NY 11209, United States of America","Bay Ridge",,"New York","Jeffrey S. Frieling, MD, FACS",,"New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Quondong Beach",-35.2963894,138.4473418,"Quondong Avenue, Aldinga Beach SA 5173, Australia","Aldinga Beach",,"Adelaide","Quondong Avenue","City of Onkaparinga","South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Turncurry Beach",18.347155,-64.679527,"Haulover Beach to Beach, VI, United States of America",,,,,,"Saint John Island",,,"vi",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Vero Beach, Indian River County",27.6387163,-80.3975399,"Vero Beach, FL, United States of America",,,"Vero Beach",,"Indian River County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lake Macquarie",-33.0657425,151.61098690621913,"Lake Macquarie, Silverwater NSW 2264, Australia",,,"Silverwater","Lake Macquarie",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Myrtle Beach, Horry County",33.6956461,-78.8900409,"Myrtle Beach, SC 29577, United States of America",,,"Myrtle Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fitzroy Island",-16.9312865,145.99456274913973,"Fitzroy Island, Cairns Regional, QLD, Australia","Fitzroy Island",,"Cairns Regional",,,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lucinda",-18.5275241,146.3332122,"Lucinda, QLD, Australia",,,"Lucinda","Lucinda",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
